Phenotype,FruitBiomassCategory,con,con_both,cry,dark,EFI,FIN,DM_Total,Food,Percent
D,High,3035,1727,413,330,2504,1864,9873,Con_percent,30.74040312
D,Low,431,888,86,0,500,1244,3149,Con_percent,13.68688473
T,High,2826,1289,321,245,2108,1251,8040,Con_percent,35.14925373
T,Low,250,978,49,0,541,1123,2941,Con_percent,8.500510031
D,High,3035,1727,413,330,2504,1864,9873,EFI_percent,25.36209865
D,Low,431,888,86,0,500,1244,3149,EFI_percent,15.87805653
T,High,2826,1289,321,245,2108,1251,8040,EFI_percent,26.21890547
T,Low,250,978,49,0,541,1123,2941,EFI_percent,18.39510371
D,High,3035,1727,413,330,2504,1864,9873,FIN_percent,18.87977312
D,Low,431,888,86,0,500,1244,3149,FIN_percent,39.50460464
T,High,2826,1289,321,245,2108,1251,8040,FIN_percent,15.55970149
T,Low,250,978,49,0,541,1123,2941,FIN_percent,38.18429106
D,High,3035,1727,413,330,2504,1864,9873,Con_Both_percent,17.49215031
D,Low,431,888,86,0,500,1244,3149,Con_Both_percent,28.19942839
T,High,2826,1289,321,245,2108,1251,8040,Con_Both_percent,16.03233831
T,Low,250,978,49,0,541,1123,2941,Con_Both_percent,33.25399524
D,High,3035,1727,413,330,2504,1864,9873,Dark_percent,3.342449104
D,Low,431,888,86,0,500,1244,3149,Dark_percent,0
T,High,2826,1289,321,245,2108,1251,8040,Dark_percent,3.047263682
T,Low,250,978,49,0,541,1123,2941,Dark_percent,0
D,High,3035,1727,413,330,2504,1864,9873,Cry_percent,4.183125696
D,Low,431,888,86,0,500,1244,3149,Cry_percent,2.731025722
T,High,2826,1289,321,245,2108,1251,8040,Cry_percent,3.992537313
T,Low,250,978,49,0,541,1123,2941,Cry_percent,1.666099966
