Animal,DominanceCategory,Phenotype,Pair,DateTime,Session,Focal,Duration,Count,Month,MonthlyFruitBiomass,FruitBiomassCategory,TaxonNEW
SS,high,T,5,6/27/2019,9,285,4212,1,6,8.760734086,Low,ANTS
SS,high,T,5,6/27/2019,9,285,4212,2,6,8.760734086,Low,EFI
SS,high,T,5,6/27/2019,9,285,4212,7,6,8.760734086,Low,GAME
SS,high,T,5,6/27/2019,9,285,4212,17,6,8.760734086,Low,CATA
SS,high,T,5,6/27/2019,9,285,4212,3,6,8.760734086,Low,FIN
SS,high,T,5,7/15/2019,14,148,5214,7,7,11.77498434,Low,EFI
SS,high,T,5,7/15/2019,14,148,5214,6,7,11.77498434,Low,FCOT
SS,high,T,5,7/15/2019,14,148,5214,19,7,11.77498434,Low,CATA
SS,high,T,5,7/15/2019,14,148,5214,22,7,11.77498434,Low,FIN
SS,high,T,5,8/5/2019,26,171,6490,1,8,14.46787252,Low,MTIN
SS,high,T,5,8/5/2019,26,171,6490,4,8,14.46787252,Low,CATA
SS,high,T,5,8/5/2019,26,171,6490,7,8,14.46787252,Low,FIN
SS,high,T,5,9/4/2019,44,201,1987,8,9,70.57240697,High,GMAC
SS,high,T,5,9/4/2019,44,201,1987,2,9,70.57240697,High,FIN
SS,high,T,5,9/9/2019,45,203,4667,5,9,70.57240697,High,EFI
SS,high,T,5,9/9/2019,45,203,4667,11,9,70.57240697,High,GMAC
SS,high,T,5,9/9/2019,45,203,4667,2,9,70.57240697,High,FIN
SS,high,T,5,9/9/2019,45,203,4667,7,9,70.57240697,High,LGRA
SS,high,T,5,9/23/2019,54,221,6127,10,9,70.57240697,High,CATA
SS,high,T,5,9/23/2019,54,221,6127,33,9,70.57240697,High,EFI
SS,high,T,5,9/23/2019,54,221,6127,59,9,70.57240697,High,GMAC
SS,high,T,5,9/23/2019,54,221,6127,31,9,70.57240697,High,FIN
SS,high,T,5,10/18/2019,71,249,5038,12,10,29.0961191,High,EFI
SS,high,T,5,10/18/2019,71,249,5038,156,10,29.0961191,High,SOBO
SS,high,T,5,10/18/2019,71,249,5038,1,10,29.0961191,High,CATA
