Animal,DateTime,Session,Scaled.Rank,Phenotype,Pair,Focal,Duration,DM_intake,CP_intake,CF_intake,WSC_intake,NDF_intake,DominanceCategory,Month,MonthlyFruitBiomass,FruitBiomassCategory,PE_Intake,NDF_Energy_Intake,CF_Energy_Intake,WSC_Energy_Intake,NPE_Intake,NPE_PE_Ratio,ME_Total,DryMassTotal
MA,6/14/2019,2,0.75,T,2,117,5147,18.42778441,1.743210368,0.982560984,5.779043664,6.795431396,high,6,8.760734086,Low,6.972841472,27.18172558,8.843048856,23.11617466,31.95922351,4.583385932,38.93206498,15.30024641
SH,6/14/2019,2,0.125,D,2,119,6547,25.58117123,2.588413888,1.366936344,7.919084384,9.349752076,low,6,8.760734086,Low,10.35365555,37.3990083,12.3024271,31.67633754,43.97876463,4.247655759,54.33242018,21.22418669
LA,6/17/2019,3,0,T,4,120,4671,3.623866667,2.190335387,0.356691093,0.204322267,0.326202133,low,6,8.760734086,Low,8.761341548,1.304808532,3.210219837,0.817289068,4.027508905,0.459690891,12.78885045,3.07755088
SI,6/17/2019,4,1,D,3,121,6287,3.58,2.167128,0.541668,0.219264,0.29758,high,6,8.760734086,Low,8.668512,1.19032,4.875012,0.877056,5.752068,0.663558867,14.42058,3.22564
ED,6/17/2019,3,0.5,D,4,122,5562,1.84,1.268288,0.160608,0.049824,0.19936,mid,6,8.760734086,Low,5.073152,0.79744,1.445472,0.199296,1.644768,0.324210274,6.71792,1.67808
PR,6/17/2019,4,0.875,T,3,123,4363,6.821798797,1.188888384,0.403885492,1.841051272,2.250958758,high,6,8.760734086,Low,4.755553536,9.003835032,3.634969428,7.364205088,10.99917452,2.312911511,15.75472805,5.684783906
FT,6/18/2019,5,0.625,T,1,124,6087,36.83626344,4.708192192,2.055347796,10.85548182,12.96026257,mid,6,8.760734086,Low,18.83276877,51.8410503,18.49813016,43.42192726,61.92005743,3.287889221,80.7528262,30.57928438
KI,6/18/2019,5,0.375,D,1,125,6046,18.92646705,2.7614256,1.0545658,5.3718988,6.4924787,mid,6,8.760734086,Low,11.0457024,25.9699148,9.4910922,21.4875952,30.9786874,2.804591893,42.0243898,15.6803689
VN,6/20/2019,6,0.142857143,D,7,126,6019,25.87437123,2.763862208,1.464624904,7.974151984,9.356034876,low,6,8.760734086,Low,11.05544883,37.4241395,13.18162414,31.89660794,45.07823207,4.077467388,56.1336809,21.55867397
CH,6/20/2019,6,0,T,7,127,5580,38.08155685,3.709325312,1.976479356,11.84054398,14.00932231,low,6,8.760734086,Low,14.83730125,56.03728926,17.7883142,47.3621759,65.15049011,4.390993282,79.98779136,31.53567096
SP,6/24/2019,7,0.8,D,11,130,5117,13.05634121,4.310669959,0.771457856,2.789960405,3.686374076,high,6,8.760734086,Low,17.24267984,14.7454963,6.943120704,11.15984162,18.10296232,1.049892621,35.34564216,11.5584623
RS,6/24/2019,8,0.6,D,10,131,6810,21.78107782,2.030796288,1.142562944,6.836637824,8.053163136,mid,6,8.760734086,Low,8.123185152,32.21265254,10.2830665,27.3465513,37.62961779,4.632372288,45.75280294,18.06316019
MW,6/24/2019,8,0,T,10,279,7330,27.56024871,3.026739476,1.460167116,8.457803524,10.0195469,low,6,8.760734086,Low,12.1069579,40.07818759,13.14150404,33.8312141,46.97271814,3.8798118,59.07967604,22.96425701
WK,6/24/2019,7,1,T,11,280,6702,21.46950178,2.887018176,1.278858488,6.288129728,7.450015692,high,6,8.760734086,Low,11.5480727,29.80006277,11.50972639,25.15251891,36.6622453,3.174750129,48.21031801,17.90402208
SJ,6/27/2019,9,0.428571429,D,5,132,5549,29.16035925,4.411974785,1.724150296,8.402176627,10.06062239,mid,6,8.760734086,Low,17.64789914,40.24248957,15.51735266,33.60870651,49.12605917,2.783677467,66.77395831,24.5989241
SS,6/27/2019,9,1,T,5,285,4212,3.094105387,0.652649024,0.227752012,0.787677912,0.942249418,high,6,8.760734086,Low,2.610596096,3.768997672,2.049768108,3.150711648,5.200479756,1.992066013,7.811075852,2.610328366
TH,7/1/2019,10,0.714285714,T,8,133,7313,28.88354673,4.588968862,1.604344548,8.07009189,9.804577278,high,7,11.77498434,Low,18.35587545,39.21830911,14.43910093,32.28036756,46.71946849,2.545205137,65.07534394,24.06798258
OR,7/1/2019,83,0.857142857,T,6,134,6436,19.44910178,1.664843136,0.991904168,6.178172528,7.273964092,high,7,11.77498434,Low,6.659372544,29.09585637,8.927137512,24.71269011,33.63982762,5.051501084,40.29920017,16.10888392
CT,7/1/2019,83,0.571428571,D,6,135,6526,26.33305387,3.75005344,1.43790572,7.49901512,9.07938218,mid,7,11.77498434,Low,15.00021376,36.31752872,12.94115148,29.99606048,42.93721196,2.862440006,57.93742572,21.76635646
CE,7/1/2019,10,0.285714286,D,8,136,6216,1.4868,0.90372768,0.13790744,0.0306604,0.1526972,low,7,11.77498434,Low,3.61491072,0.6107888,1.24116696,0.1226416,1.36380856,0.377273096,4.97871928,1.22499272
PD,7/2/2019,11,0.333333333,T,9,140,6265,41.04712092,3.9310128,2.1379436,12.80473672,15.13326128,mid,7,11.77498434,Low,15.7240512,60.53304512,19.2414924,51.21894688,70.46043928,4.481061425,86.18449048,34.0069544
QD,7/2/2019,11,0.666666667,D,9,281,5126,14.41317364,1.76899168,0.77271584,4.28032064,5.12078696,high,7,11.77498434,Low,7.07596672,20.48314784,6.95444256,17.12128256,24.07572512,3.402464437,31.15169184,11.94281512
