Phenotype,FruitBiomassCategory,con,con_both,cry,dark,EFI,FIN,DM_Total,Food,Percent
D,High,685.91,415.5360006,54.39,52.8,157.018,102.2887132,1467.942714,Con_percent,46.72593784
D,Low,78.97,281.6232972,30.1,0,38.9812,55.79495656,485.4694538,Con_percent,16.26672891
T,High,598.515,310.9950004,36.4,39.2,110.4412,66.23166969,1161.78287,Con_percent,51.51694137
T,Low,53.284,304.3446525,17.15,0,31.6832,50.11269568,456.5745482,Con_percent,11.67038334
D,High,685.91,415.5360006,54.39,52.8,157.018,102.2887132,1467.942714,EFI_percent,10.69646646
D,Low,78.97,281.6232972,30.1,0,38.9812,55.79495656,485.4694538,EFI_percent,8.029588617
T,High,598.515,310.9950004,36.4,39.2,110.4412,66.23166969,1161.78287,EFI_percent,9.50618251
T,Low,53.284,304.3446525,17.15,0,31.6832,50.11269568,456.5745482,EFI_percent,6.939326804
D,High,685.91,415.5360006,54.39,52.8,157.018,102.2887132,1467.942714,FIN_percent,6.968167916
D,Low,78.97,281.6232972,30.1,0,38.9812,55.79495656,485.4694538,FIN_percent,11.49299016
T,High,598.515,310.9950004,36.4,39.2,110.4412,66.23166969,1161.78287,FIN_percent,5.700864714
T,Low,53.284,304.3446525,17.15,0,31.6832,50.11269568,456.5745482,FIN_percent,10.97579703
D,High,685.91,415.5360006,54.39,52.8,157.018,102.2887132,1467.942714,Con_Both_percent,28.30737172
D,Low,78.97,281.6232972,30.1,0,38.9812,55.79495656,485.4694538,Con_Both_percent,58.01050818
T,High,598.515,310.9950004,36.4,39.2,110.4412,66.23166969,1161.78287,Con_Both_percent,26.76877138
T,Low,53.284,304.3446525,17.15,0,31.6832,50.11269568,456.5745482,Con_Both_percent,66.65826067
D,High,685.91,415.5360006,54.39,52.8,157.018,102.2887132,1467.942714,Dark_percent,3.596870607
D,Low,78.97,281.6232972,30.1,0,38.9812,55.79495656,485.4694538,Dark_percent,0
T,High,598.515,310.9950004,36.4,39.2,110.4412,66.23166969,1161.78287,Dark_percent,3.374124461
T,Low,53.284,304.3446525,17.15,0,31.6832,50.11269568,456.5745482,Dark_percent,0
D,High,685.91,415.5360006,54.39,52.8,157.018,102.2887132,1467.942714,Cry_percent,3.705185461
D,Low,78.97,281.6232972,30.1,0,38.9812,55.79495656,485.4694538,Cry_percent,6.200184124
T,High,598.515,310.9950004,36.4,39.2,110.4412,66.23166969,1161.78287,Cry_percent,3.133115571
T,Low,53.284,304.3446525,17.15,0,31.6832,50.11269568,456.5745482,Cry_percent,3.756232157
